تسبحة كيهك ..الاربعاء الاول,نيافة الحبر الجليل الانبا يؤانس بكنيسة السيدة العذراء بالزيتون,attending
مش هنشحن,"هنقاطع شركات الاتصالات من يوم 30 \ 9 عشان غلاء اسعار كروت الشحن والانترنت الارضى وعشان سوء خدمة الانترنت وعدم تطويرها.

اسعار الكروت حالياً هتتخفض قيميتها بنسبة 36% يعنى رصيد الـ 100 رصيد بـ 143ج !! وعشان كده 

- يومياً من 6 مساءً لـ 12 مساءً هنعمل موبايلاتنا airplane mode 
 مش هنشترى خط المصريه للاتصالات الجديد 015 #WE
- هنقاطع شراء الكروت والشحن فى كل الشركات او هنقلل الشحن على موبايلاتنا لحد ما يحصل تغيير ويتراجعوا عن القرار.
- متتعاملش مع خط المصريه للاتصالات الـ 015 يعنى متردش على 015 ولا تتصل بـ 015
- قلل مكالماتك واستخدم السوشيال ميديا عشان توصل لاي حد.. رسايل او صوت ومتتكلمش من الموبايل الا للضروره
- تشارك معانا فى الايفينت ده مش هنشحن
- غير صورة بروفايلك زيي من هنا https://goo.gl/zvmv6t واعلن مقاطعتك للشركه دى نهائياً
- اعمل #شير للايفينت ومنشن لاصحابك وتقاطع.. تقاااطع !!
- خد الايفينت وابعته لكل اصحابك على الماسنجر و واتس اب وغيره.. وشير الايفينت فى كل الجروبات
- انشر الهاشتاج ده فى كل مكااان #مش_هنشحن
متسيبش حقك , متخليش حد يسوقك ويستغفلك ويضحك عليك !!

خلال اليومين دول لازم نعرف كل مصر ونخليهم يقاطعوا منشن وشير وعرف كل اصحابك وخليهم يشاركوا معانا

سكوتك امبارح خلاهم يسرقوك النهارده.. وسكوتك النهارده هيخليهم يسرقوك بكره وبعده.
قاطع الغلاء بالاستغناء

#مش_هنشحن",unsure
حفلة ختام النشاط الصيفى للمجموعة الكشفية,الخطوط كتـــــير بس المهم تحدد خطك,attending
Color Festival 4 ( تاني يوم العيد ),"#Color_festival_TaNy_Yom_el3eed ❤❤ 
======================================
ااستنونا أكبر و أقوى Color Festival في مصر  تاني يوم العيد نوعدكم هتقضوا أحلا و أجن يوم في حياتكم مش هتنسووه أبدا مليان مفاجأت و مسابقات و حاجات مجنونة  منها هنقولكم عليها و منها هنفاجأكم بيها و هتشوفوها في الحفلة معانا بس في تاني يوم العيد 
======================================
المكان : حديقة اللوتس حي السفارات مدينة نصر ☺
اليوم : يوم الخميس 7-7- 2016 تاني يوم العيد ☺
المعاد : من 10 الصبح ل 6 المغرب ☺
سعر التذكرة : 50 جنيه ☺
التذكرة دي شاملة 
( 4 كيس ألوان - 2 بالونة - برنامج الحفلة - دخول الحفلة و الحديقة )
======================================
اليوم هيبقا فيه : 
1- دي جي طوول اليوم 
2- تصوير فوتوجرافي 
3- لعب بالماية 
4- لعب بالألوان 
5- عروض نارية ♨
6- مغنيين راب 
7- تنورة و فنون شعبية 
8- أماكن لعب للأطفال 
9- مسابقات و مفاجأت 
10- فرق Under ground 
======================================
⚠⚠للحفلة مكان مغلق خاص بيها فقط
في الحفلة (مكان مختلط و مكان للبنات لوحدهم كمان) 
و تامين للحفل بالكامل bodyguards 

▪ هيكون عندنا بس في حفلة تاني يوم سحب على موبايل I Phone (إحتفظو بالتكيت طوول الحفلة) 

▪ هيبقا معانا أجمل مفاجأة عازف الكمان مارسيليو Violin laser show 
Www.fb.com/marsellio.violinist 

▪ فقرات هندية و أغاني هندية و رقص هندي زي ما انتو عايزين مش محتاج تسافر الهند 

▪ هيبقي معانا animation team جامد جدا عشان تلعبوا و تتصوروا معاه و تخدوا احلي سيلفي 

▪ كمان هيبقا معانا Under ground Bands 
 
▪ كمان معانا اللعبه اللي كله بيعشقها bubble football ⚽

▪ أخر مفاجأه معانا إنهاردة Trampoline النطاطة دي بقا لعبة مسلية جدا للكبار و الاطفال 

▪ الاطفال مجانا لحدا ال 5 سنين ☺
 هتلاقي عندنا تي شيرتات بيضة بنص كم (25 جنيه)
و مفاجأت تانية هتعرفوها في الحفلة 
======================================
⚠ مفيش حجز تذاكر فى نفس اليوم ✋
عدد التكيت الباقي محدود جدا 
ارقام حجز و استلام التكيت 
شبرا
01026966416
وسط البلد - رمسيس
01110352998
معادي - حلوان
01113906575
الجيزة - هرم - فيصل
01115948181
مصر الجديده - عين شمس - الزيتون
01113906575
مهندسين - الدقي - اكتوبر - عباسية - مدينة نصر
01013906763
٨ حسن المأمون مدينه نصر بجانب النادي الاهلي
01009348357
او
لتحويل المبلغ عن طريق فودافون كاش
01009348357",unsure
We Will Become One In Jesus ( Ehab ❤ Gena ),"""So they are no longer two, but one flesh. What therefore God has joined together, let not man put asunder separate ""                              (Math 19: 6 )
 
We would like to invite you to share with us our wedding ceremony  at St. Mark Church Maadi at 5:00 PM 

Our happiness won't be completed without your presence 
 
Waiting for all of you .",attending
مليونية الكترونية لدعم الانبا مكاريوس,"هنعمل مليونية لدعم الانبا مكاريوس على الفيس
عشان صوتنا يوصل
لو موصلش على الفيس هننزل الشارع
#ندعم_الانبا_مكاريوس
ونؤيد جميع مطالبة لتطبيق القانون
هاشتاج على تويتر يوم الخميس الساعة 7.00 مساء
#مليونية_الكترونية_لدعم_الانبا_مكاريوس",attending
