"Happy Mother’s Day to my lovely Mum, who secures herself a tender spot in my heart!
A mere ‘thank you’ is an understatement for the selflessness, generosity and devotion you show our family each and every day... 
Love you to bits! ♥️😘",David Mina is with Sherin Shawky.,10156281812595912_10156194124665912,2018-03-21T13:11:16+0000,posted
The Egyptian King 🇪🇬👑♥️,David Mina shared a post.,10156281812595912_10156183139800912,2018-03-17T22:45:37+0000,shared
below,David Mina shared a post.,10156281812595912_10155977730035912,2018-01-04T21:51:31+0000,shared
"As we usher in 2018 with renewed enthusiasm, let's reminisce about the year gone by, learn from its lessons and thank God for all the precious blessings HE has bestowed upon us. 

May 2018 be loaded with peace, joy and prosperity, and may it bring good tidings to everyone! 😍",below,10156281812595912_10155968627040912,2018-01-01T09:51:49+0000,posted
below,David Mina shared a post.,10156281812595912_10155945170650912,2017-12-23T14:49:31+0000,shared
below,David Mina shared a post.,10156281812595912_10155885062200912,2017-12-01T15:58:34+0000,shared
"Celebrating my 21st birthday with my unsurpassed boss and precious teammates at my second home... ❤️🎉🎈
What an uplifting start for my new year! 😍",David Mina is with Yasmine Ahmed Badawy and 3 others.,10156281812595912_10155880514080912,2017-11-29T22:44:21+0000,posted
انتقلت الي الامجاد السماوية جدتي السيدة/ امتثال فهمي و العزاء غدا الاحد مساء بقاعة كنيسة مارجرجس مصر الجديدة,below,10156281812595912_10155868225455912,2017-11-25T09:26:57+0000,posted
#Esseily #GUC 🔥🔥,below,10156281812595912_10155751393350912,2017-10-12T23:15:11+0000,posted
#15yearsGUC #we_GUCians 😍💪,below,10156281812595912_10155751345565912,2017-10-12T22:48:31+0000,posted
below,David Mina updated his cover photo.,10156281812595912_10155743109855912,2017-10-09T19:43:14+0000,updated
below,David Mina shared a video.,10156281812595912_10155740849745912,2017-10-08T22:54:46+0000,shared
below,David Mina shared a video.,10156281812595912_10155740763845912,2017-10-08T22:03:27+0000,shared
below,David Mina shared a post.,10156281812595912_10155740756380912,2017-10-08T21:58:24+0000,shared
