Embarking Future Setting your mind,"Senior and confused?
Do not know what 's your next step?
Master's degree or work?
Academic or industrial field?

Get READY before the Employment Fair and join our next session "" Embarking Future : Setting your mind!!  ""

The session is mainly concerned to the senior and pre-senior students(Although any GUCians can join us). M. Sc. Omar M. Shehata will be speaking about the next step after graduation. What is the difference between continuing your journey in an academic field or an industrial one. And how to know which field you will be fitting in. Also what are the mental tools that you need to have to attract the market. Some graduate cases examples will be also mention under the scope of clarifying the ideas.

Apply now : 
https://docs.google.com/forms/d/e/1FAIpQLSe7DN0GjNsCRRYJVOZGoYZy5YB3Sdl36ZW_m2BecyGwAQuelA/viewform?usp=pp_url&entry.2005620554&entry.1045781291&entry.1065046570&entry.1166974658&entry.1831390995

Waiting to see all of you !!

ASMEGUC",unsure
Architecture Photography Course - Nour El Refai,"لو مهتم بالتصوير المعماري و عايز تعرف تبدأ ازاي احنا عملنا كورس مع المصور المحترف نور الرفاعي هيكلمنا فيه عن خبرته الكبيره في مجال ال Archticture Photography 
هتعرف في الكورس دا ازاي تبدأ في المجال دا من التصوير و ايه المعدات المناسبه ليك و ازاي تطلع صور Interior و Exterior احترافيه ..
كمان الكورس مش هيكمل من غير التطبيقات العملي .. علشان كده اهتمينا اننا نخلي في تطبيق عملي خارجي في الكورس  و كمان جزء للايديت علشان تقدر تطلع نتائج احترافيه 


الكورس هيكون ٤ محاضرات 
يوم الجمعه و السبت ٣٠ و ٣١ مارس 
و يوم ١٣ و ١٤ ابريل 
من الساعه ٢ الي ٥ 

سعر الكورس: ٣٥٠٠ جنيه
للاشتراك ممكن تملوا الاستماره دي:
https://goo.gl/forms/QHQW6LNvW3JSolXJ2
للاستفسار:
01150018587
01022263152

الكورس هيكون مع: Nour El Refai
محتويات الكورس:
Day 1
Duration : 3 Hours
Perception, Lines, and Angles
Lighting Techniques
Shoot preparation and gear
The presentation is divided into two parts: 1- A theoretical part regarding perception
and how to think about angles. 2- Explaining all the gear used, from camera settings to
lighting techniques, and how to prepare for a photo shoot.

Day 2
Duration: 5 Hours
Shooting in an Interior Showroom, Participants will get the chance to shoot along with Nour, practice with angles, and apply different lighting techniques.

Day 3
Duration: 3 Hours
Workflow and Post-processing
Explaining and practicing with the culling and editing process of the photos.
Requirements:
Laptop, with Lightroom and Photoshop.

Day 4
Duration: 3 Hours
Selection and Critique
Critique and remarks on the final photos from the participant's work. Talking about the
strength and weakness of each photo, and discussing how to improve the final product.

Requirements:
. DSLR Camera
. Laptop, and tethering cable
. Tripod
. Wide angle lens (ex. Nikon 14-24mm or Canon 11-24mm on a full frame body, or equiv. focal length on APS-C body.
(You can rent lenses and cameras)
. Basics photography background (know how to use the camera + settings)

Instructor Bio:
Nour El Refai (b. 1983 - Cairo, Egypt).  
obtained a degree in Architecture at Cairo University and has been working as an Architectural photographer since 2005.
He has covered documentary stories and assignments in Egypt, Morocco, Algeria, India, and Turkey. His work has been published in the Financial Times, The Huffington Post and many more.
He taught architecture photography at various Egyptian universities and continues to teach workshops in his Studio.

His Work: 
https://www.nourelrefai.com/index

اخر معاد للحجز يوم 25 مارس 
* الحجز عن طريق الدفع فقط 
طريقة الدفع :
-عن طريق مقر النادي (مواعيد العمل من ١٠ ص حتى الـ ١٠ م)
-عن طريق البنك العربي الافريقي AAIB
الحساب بأسم: Cairo Photography Club
رقم الحساب: 5199333931
-عن طريق فودافون كاش علي رقم 01000040599
- عن طريق فوري - فيزا اونلاين (يتم زيادة ٣٪) 
http://www.paymestore.co/205633

سياسة الإلغاء و الاسترداد
- قبل معاد الكورس ب ٧ أيام يسترد المبلغ بالكامل

للاستفسار:
01150018587
01022263152",unsure
درب الصليب 2018,"اوبريت  ""ماهو الحق""؟ 
تتشرف كنيسة السيدة العذراء والانبا بيشوي 
بالتجمع الخامس 
بدعوة سيادتكم لحضور اوبريت 
درب الصليب 
يوم الخميس الموافق 29 مارس 2018 
بمسرح الانبا رويس بالكاتدرائية المرقسية بالعباسية 
تعال وادع الاخرين",unsure
يرد نفسي - درب الصليب 2018,"بصلوات قداسة البابا المعظم الأنبا تواضروس الثاني
وشريكة فى الخدمة الرسولية أبينا المكرم الأنبا رافائيل

كنيسة القديسة العذراء مريم بجاردن سيتى
تدعو حضراتكم لحضور عرض

يرد نفسي 
درب الصليب 2018 


وذلك بالكنيسة يومي الأربعاء و الخميس  28 - 29/ 3 / 2018   الساعة 8 م.
علما بأنه سيتم إستقبال الحاضرين من الساعة 7 م وسيتم غلق الباب الساعة 7:45م لبدء العرض ولن يسمح بالدخول بعد ذلك.",unsure
"Carols by Candlelight: 6:30-8pm, Friday","This is a peaceful and joyful candlelight service of sung carols interspersed with readings from the Holy Bible. We will hear the story of the long-promised Messiah foretold by the Prophets. 

Children accompanied by parents are welcome. This service is hosted by the English-speaking Congregations of All Saints' Cathedral and is open to all.",unsure
حيثما توجد صلاه ، يوجد الله,"*Drum roll* THE MOST AWAITED EVENT IS FINALLY HERE!! Tomorrow(19-9) will be our special prayer meeting starting at 8 pm lasting for 2 hours at Michael Archangel Church sheraton-Helopolis 2 hours for you to throw all your burden cause he is the one who invited us to do so ""Come to me, all you who are weary and burdened, and I will give you rest"" Matthew 11:28 .Come  and open your heart and invite God into every circumstance you are going through because when God enters the scene he calms the storm",attending
Walking Robots Competition,"شوفت Tars اللي في فيلم Intersterllar ازاي كان بيتحرك بدون اي عجلات ؟
المستقبل هيكون للروبوتات اللي بتحاكي حركة الحيوانات والانسان! وعلشان كده مؤسسات كتيرة حول العالم بدأت انها تعمل ابحاث على ال Robots اللي بتمشي على ارجل بدل من العجلات 😃 

لأول مرة في مصر هيكون في سباق للروبوتات اللي بتمشي بدون عجلات في مدينة زويل، السباق هيكون مليان تحديات هيشارك فيها طلاب جامعات ومدارس علشان يطورها ويعملوا روبوتات بدون عجلات !

جوائز المسابقة:
The First Place Prize will be 4000 EGP
The Second Place Prize will be 2000 EGP
The Third Place Prize will be 1000 EGP

Three additional trophies will be presented
Trophy of the best design
Trophy of the most cost-efficient model
Trophy of the best documentation and video


للتسجيل في المسابقة: bit.ly/WalkingRobotsCompetition
للاطلاع على شروط وتفاصيل المسابقة: bit.ly/WalkingRobotsRulebook

--------------------

Have you watched Tars in the movie interstellar? It was moving without any wheels and it has legs just like any animal!
The future will have robots the mimic humans and animals motion. For that reason, many institutes and companies starts doing research on these types of robots

For the first time in Egypt, IEEE Zewail City will organize  a walking robots competition where students from different universities and schools will build their robots to compete in the largest race of walking robots.

Competition Prizes:
The First Place Prize will be 4000 EGP
The Second Place Prize will be 2000 EGP
The Third Place Prize will be 1000 EGP

Three additional trophies will be presented
Trophy of the best design
Trophy of the most cost-efficient model
Trophy of the best documentation and video

For registration in the competition: bit.ly/WalkingRobotsCompetition
For reading the rule-book: bit.ly/WalkingRobotsRulebook",unsure
Kotlin Night Cairo,"Come join our first Kotlin meetup! 💯 

Almost two months ago at the Google I/O 2017 keynote, Google announced that it will officially support Kotlin on Android as a first-class language. We believe this is a great step for Kotlin, and fantastic news for Android developers as well as the rest of the community. 

🛎️🛎️   Attendance is limited be sure to RSVP via this URL:
https://www.meetup.com/GDGCairo/events/241907395/ 🛎️🛎️  

Schedule:
• 12:00pm: Arrivals and registration (~30 minutes)
• 12:30pm: Welcome and introduction (~15 minutes)
• 12:45pm: Introduction to Kotlin (~45 minutes)
• 1:30pm: Break, drinks and socializing (~15 minutes)
• 1:45pm: Programming with Kotlin (~120 minutes)
• 3:45pm: Networking and socializing (~15 minutes)

This event is organized by GDG Cairo in cooperation with Kotlin Egypt and hosted by Mushtarak.",unsure
'' Rami & Marina Engagement '',""" That the Love with which you loved me may be in them & I in them. "" (John 17:26)

Waiting for you all Our Beloved Family & Friends to celebrate with us Our Engagement Ceremony on Saturday 22nd of July 2017 @ 5 pm @ St.Mary Church - Ard El Golf

We will be so delighted to have you share this special day with us.",attending
كتب كتابنا (The  writing of our Book),"بسم الله الرحمن الرحيم
""وَمِنْ آيَاتِهِ أَنْ خَلَقَ لَكُم مِّنْ أَنفُسِكُمْ أَزْوَاجًا لِّتَسْكُنُوا إِلَيْهَا وَجَعَلَ بَيْنَكُم مَّوَدَّةً وَرَحْمَةً ۚ""
                               صدق الله العظيم


Dear family and friends,
         
           LOVE JUST HAPPENS ❤️

We would like to invite you all to our katb ketab to share the beginning of our new life together. Our day won't be as special without you all!

Feel free to bring your +1

#El mosheer Tantawy # El-Safa Hall",unsure
