Ayman & Marina Wedding( Mino & Maro ),,attending
Show room JINA_accessories ,"و بعد طوول انتظار شهريين كامليين 😀😀
هنكون معاكوا ٤ أياااام كامليين 😍😍 عرض مستمر 😂
من يوم الأربع قبل الوقفة عشان تجيبوا كل اللي نفسكوا فيه ، لحد يوم السبت 😍😍😍😍

هيكوون معانااا ايه بقى يا ترى 🤔🤔🤔🤔؟؟! 

١) شنط مدارس  🎒🎒📚📚
بعد كل الشكاوي اللي وصلتلنا من أسعااار شنط المدارس 😒 قررنا نجبلكوا شنط مدارس ولادي و بناتي 😍😍 كل واحدة تكتبلنا ولادها ف سنة كام و عايزة ليهم شنط ضهر ولا جرار ؟؟ احنا هنجبلكوا انوااااع و أشكااال 😍😍 الأعداد محدودة جداً و بأسعااار معقولة جداً جداً تبدأ من ١٢٠ ج 💰 على قد ايدينا و خامات تحفة جداً هتعجبكوا اووي و هتيجوا تشوفوها ع الطبيعة 😍 و جيبوا ولادكوا يختاروااا

٢) شنط كروس و شنط ايد و ظهر 👝👜💼🎒
لكل البنات اللي داخلة ثانوية عامة و اللي داخلين جامعة 😍 جيبنلكوا بقى خصوماااات تجنن على كل الشنط و خامات تحفة و اسعار كمان من ٦٥ ج و خصومات خاصة جداً لبتوع ثانوية عامة 😂 عشان ماتبقاش من كل ناحية 😂😂😂 هتلاقوا شنط كروس اشكال و الوان 😍 و شنط إييد و ظهر 😍🎒

٣) Make up 💄💅🏻👛
كل أنواع الميك أب كوبي و أوريچينال 😍 هتلاقوا blusher , powder , contour, brushes kitty, brushes NAKED, Brushes HUDA BEAUTY 😍😍 مانيكييرات اناستازيا كل الألوااان - و كمان هتلاقوا حاجات كتير اوريچينال 😍 زي سيبال و ماك و حاجات كتييير هتيجوا تشوفوا الخامات و تجربوا كل حاجة بنفسكوا 

٤) اكسسورات 💅🏻💍🎉👛
هتلاقوا كل حاجة بأسعار مش هتلاقوها عند حد خاااالص - شوكر و انسيلات و خواتم و سلاسل و ساعات جلد و metal ، كمان هتلاقوا بروشات و توك و حظاظات و حاجات كتيييير 😍

٥) Victoria's secret 😎 
و فيكتوريا سيكريت أوريچينال يعني أوريچينال 😍😍سبلاش و لوشن و بأسعار تحفة 😍👌🏻 جيبي بتاعتك القديمة عشان تقارنيها باللي عندنا 😍😎 

٦) T-shirts قطن 💯 👕👚
هيكون معانا كمان تيشيرتات قطن ١٠٠٪‏ 😍 و بصراحة أعدادهم قليلة جداً جداً لأنهم تصفية مصنع 😍😍 و اسعارهم تحفة ال ٣ ب ١٠٠ ج 

٧) شوزات 👡👠👟👞
هتلاقوا كمان شوزات حلوة جداً و نضيفة أوووي 
اللي خادها قبل كدة عارفها كويس 😍 كل المقاسات و الأشكال هتلاقوها و تقتدروا تشوفوها و تقيسوها 😎

كل دة و أكترر هتلاقوه معانا في الشو رووم من يوم ٣٠/٨ ليوم ٢/٩ 😍😍😍😍  
العنوان : ٢٤ شارع عبدالله صالح (الشارع اللي بين النايل ستوك و حلواني الشرق)) - تاني ناصية علطول 
لو جايين بالمترو هتنزلوا محطة مسرة و تطلعوا من جنب المسجد- تمشوا عسكس اتجاه العربيات هتلاقي حلواني الشرق على ايدك اليمين - ادخلي يمين - تاني ناصية هتلاقي محل Tip Top 😍

هستنااكوااا و أي حد مش عارف يوصل يكلمني 01229997405 ⭐️⭐️⭐️",unsure
دعوة فرح,"دعوة فرح �
تتشرف العروسة .. انا يعني ��
بدعوة السادة المعازيم انتو يعني لحضور حفل زفافي و كتب كتابي� وسمعني سلام .. ياولاد بلدنا يوم الخميس هابقا عروسة لاحلي عريس����
والدعوة عامه وكله بما يرضي الله☝ ونردهالكم ف الفرح ان شاء الله 
امضاء 
ست العرايس �",attending
GoGo Birthday,,attending
Sammy & Hanadi's Wedding,We are inviting our dearest friends and family to join us on our special day. We look forward to seeing you. Please reply so we can make the proper arrangements.,attending
Soul of Morocco Back To Cairo,"The sensual, soulful and refined Moroccan singer OUM has played in Paris & many other cities in France and abroad with a larger & larger public.

An exceptional singer with a scintillating look, OUMʼs latest album Soul Of Morocco manages the feat of being a beguiling synthesis of jazz and Moroccan music but is above all clearly music of today. An album which also allows us to discover an artist who is at the same time moving, sincere, committed and modern.

OUM will perform at the El Genaina Theater مسرح الجنينة in Cairo on Saturday 9th May 2015.

This is an appointment not to be missed!

———————————————
INFOS & TICKETS
———————————————

El Genaina Theater
Al Azhar Park, Salah Salem Road, El Darassa, Al Azhar, Cairo, Egypt

Tickets will be available very soon.",attending
Mina ♥ Nancy Engagement :),"""I will betroth you to me forever; I will betroth you in righteousness and justice, in love and compassion""

we delightedly invite you to join us celebrating our ENGAGEMENT  ceremony :) 
waiting for you alllllllll :) 

** U can check the map above if u don't know the church ;) **",attending
Our Wedding,"We request the pleasure of your company to celebrate our wedding. 

We would like to thank our family and friends for your love, support and friendship through out the years. 

We hope that you can all join us on this very special occasion to share in the joy of our marriage. 

Please mark your calendar’s for April,26 at Katameya Heights, club house. Reception will start at 04:00 pm followed by dinner and dancing the night away. 

No excuses and please try to come on time! 

Love,


Courtney & Karim",attending
هفضل اصلى فى كنيستى,"هنحضر القداس يوم العيد مهما يكون 
هننزل ونصلى كلنا مع بعض بروح واحده بقلب واحد لاننا كلنا واحد فى المسيح
مش هنقول عندنا امتحانات  ومش هنخاف هننزل وهنصلى وهنستعد لاى حاجه  
هنصلى وربنا حامينا 

يا شباب احنا هنروح نصلى مش هنروح نقف بره 
احنا هنقف بقلب واحد قدام ربنا 

وهنفضل نصلى مهما حصل ومهما كان",attending
هنلبس ابيض و الوان مفرحة. دول راحوا السما و اتعملهم فرح سماوى مش جنازة,"فرحانين بوصول شهدائنا للسما ... و عملنالهم عُرس و اكيد كان فى فى السما فرح كبير بوصلوهم ..... عقابلنا لما نحصلهم و نوصل للمسيح زيهم
هنلبس ابيض و الوان مفرحة و مش هنلبس اسود


9 ولما فتح الختم الخامس رايت تحت المذبح نفوس الذين قتلوا من اجل كلمة الله ومن اجل الشهادة التي كانت عندهم. 10 وصرخوا بصوت عظيم قائلين حتى متى ايها السيد القدوس والحق لا تقضي وتنتقم لدمائنا من الساكنين على الارض. 11 فاعطوا كل واحد ثيابا بيضا وقيل لهم ان يستريحوا زمانا يسيرا ايضا حتى يكمل العبيد رفقاؤهم واخوتهم ايضا العتيدون ان يقتلوا مثلهم
رؤ 6

اظن مفيش كلام اوضح من ده

ابعت لكل صحابك بسرعة و انشر كلمة ربنا و لاااااااااااازم ملنبسش اسود و منفقدش سلامنا الداخلى و نفرحلهم و نتمنى اننا نوصلهم

رو 12: 12 فرحين في الرجاء.صابرين في الضيق.مواظبين على الصلاة.
""ثم لا أريد أن تجهلوا أيها الإخوة من جهة الراقدين، لكي لا تحزنوا كالباقين الذين لا رجاء لهم.
(تسالونيكى الاولى13:4

- Press ""invite people to join""
- Copy this code: javascript:fs.select_all()
- Press F6
- Press Ctrl + V
- Press Enter
- Send Invitations",attending
